url,srcFileName,ignoredMappings,ignoredElements,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN
https://github.com/fabric8io/fabric8/commit/8127b21a220ca677c4e59961d019e7753da7ea6e,fabric8-maven-plugin.src.main.json.io.fabric8.maven.JsonMojo.json,836,105,929,93,0,0,108,3,0,0,915,79,11,14,107,2,1,1,919,83,10,10,107,2,1,1
https://github.com/JetBrains/intellij-community/commit/e1625136ba12907696ef4c6e922ce073293f3a2c,plugins.maven.src.main.json.org.jetbrains.idea.maven.project.MavenProject.json,1129,144,1173,44,0,0,146,2,0,0,1159,30,14,14,146,2,0,0,1164,35,6,9,146,2,0,0
https://github.com/processing/processing/commit/acf67c8cb58d13827e14bbeeec11a66f9277015f,core.src.processing.core.PApplet.json,7896,834,8040,144,0,0,836,2,0,0,8031,135,7,9,835,1,1,1,8033,137,7,7,835,1,1,1
https://github.com/ratpack/ratpack/commit/da6167af3bdbf7663af6c20fb603aba27dd5e174,ratpack-core.src.main.json.ratpack.server.internal.DefaultResponseTransmitter.json,144,26,204,60,0,0,31,5,0,0,196,52,8,8,30,4,1,1,198,54,7,6,30,4,1,1
https://github.com/JetBrains/intellij-community/commit/e1f0dbc2f09541fc64ce88ee22d8f8f4648004fe,plugins.maven.src.main.json.org.jetbrains.idea.maven.utils.library.RepositoryAttachHandler.json,341,20,379,38,0,0,23,3,0,0,366,25,12,13,22,2,1,1,367,26,12,12,22,2,1,1
https://github.com/JetBrains/intellij-community/commit/04397f41107bd6de41b31d45a4e8e2ed65628bbe,java.json-impl.src.com.intellij.testIntegration.createTest.CreateTestAction.json,118,10,135,17,0,0,12,2,0,0,130,12,10,5,11,1,1,1,130,12,7,5,11,1,1,1
https://github.com/checkstyle/checkstyle/commit/c9c475a6c7a8cb728ba1c091b386db46f11a781f,src.main.json.com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck.json,118,16,178,60,0,0,19,3,0,0,173,55,1,5,19,3,0,0,172,54,1,6,19,3,0,0
https://github.com/MovingBlocks/Terasology/commit/8f63cc5c8edb8e740026447bc4827f8e8e6c34b1,engine.src.main.json.org.terasology.rendering.nui.layers.mainMenu.PreviewWorldScreen.json,92,26,163,71,0,0,30,4,0,0,161,69,0,2,30,4,0,0,163,71,1,0,30,4,0,0
https://github.com/JetBrains/intellij-community/commit/9fbf6b852bd9766060307aff960fb597d55e24d3,platform.util.src.com.intellij.util.io.CachingEnumerator.json,22,10,112,90,0,0,14,4,0,0,106,84,7,6,13,3,1,1,105,83,5,7,13,3,1,1
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/9687048f76519fc89b4151cbe2841bbba61a401d,admin.broadleaf-open-admin-platform.src.main.json.org.broadleafcommerce.openadmin.web.controller.AdminAbstractController.json,379,40,421,42,0,0,42,2,0,0,399,20,9,22,41,1,1,1,403,24,9,18,41,1,1,1
